OrderID,Product,Quantity,Price,Total_Amount
1001,Laptop,2.0,800.0,1600.0
1002,Mouse,2.0,20.0,40.0
1003,Keyboard,1.0,50.0,50.0
1004,Monitor,2.0,197.4418604651163,394.8837209302326
1005,Laptop,2.0,800.0,1600.0
1006,Headphones,2.0,100.0,200.0
1007,Mouse,3.0,20.0,60.0
1008,Keyboard,2.0,50.0,100.0
1009,Webcam,2.0,70.0,140.0
1010,Printer,1.0,150.0,150.0
1011,USB Cable,2.0,10.0,20.0
1012,Mouse,4.0,20.0,80.0
1013,Laptop,1.0,197.4418604651163,197.4418604651163
1014,Keyboard,2.0,50.0,100.0
1015,Monitor,2.0,330.0,660.0
1016,Headphones,3.0,100.0,300.0
1017,Webcam,2.0,70.0,140.0
1018,Printer,2.0,150.0,300.0
1019,USB Cable,5.0,10.0,50.0
1020,Laptop,2.0,800.0,1600.0
1021,Mouse,2.0,20.0,40.0
1022,Keyboard,3.0,197.4418604651163,592.3255813953489
1023,Monitor,1.0,330.0,330.0
1024,Headphones,2.0,100.0,200.0
1025,Webcam,2.0,197.4418604651163,394.8837209302326
1026,Printer,2.0,150.0,300.0
1027,USB Cable,3.0,10.0,30.0
1028,Laptop,2.0,800.0,1600.0
1029,Mouse,2.0,20.0,40.0
1030,Keyboard,1.0,50.0,50.0
1031,Monitor,2.0,330.0,660.0
1032,Headphones,2.0,197.4418604651163,394.8837209302326
1033,Webcam,2.0,70.0,140.0
1034,Printer,1.0,150.0,150.0
1035,USB Cable,4.0,10.0,40.0
1036,Laptop,2.0,800.0,1600.0
1037,Mouse,3.0,20.0,60.0
1038,Keyboard,2.0,50.0,100.0
1039,Monitor,2.0,330.0,660.0
1040,Headphones,1.0,100.0,100.0
1041,Webcam,3.0,70.0,210.0
1042,Printer,2.0,150.0,300.0
1043,USB Cable,2.0,10.0,20.0
1044,Laptop,1.0,800.0,800.0
1045,Mouse,2.0,20.0,40.0
1046,Keyboard,4.0,197.4418604651163,789.7674418604652
1047,Monitor,2.0,330.0,660.0
1048,Headphones,2.0,100.0,200.0
1049,Webcam,2.0,70.0,140.0
