OrderID,Product,Quantity,Price
1001,Laptop,2,800
1002,Mouse,,20
1003,Keyboard,1,50
1004,Monitor,2,
1005,Laptop,2,800
1005,Laptop,2,800
1006,Headphones,,100
1007,Mouse,3,20
1008,Keyboard,,50
1009,Webcam,2,70
1010,Printer,1,150
1011,USB Cable,,10
1012,Mouse,4,20
1013,Laptop,1,
1014,Keyboard,2,50
1015,Monitor,,330
1016,Headphones,3,100
1017,Webcam,,70
1018,Printer,2,150
1019,USB Cable,5,10
1020,Laptop,,800
1021,Mouse,2,20
1022,Keyboard,3,
1023,Monitor,1,330
1024,Headphones,,100
1025,Webcam,2,
1026,Printer,,150
1027,USB Cable,3,10
1028,Laptop,2,800
1029,Mouse,,20
1030,Keyboard,1,50
1031,Monitor,2,330
1032,Headphones,2,
1033,Webcam,,70
1034,Printer,1,150
1035,USB Cable,4,10
1036,Laptop,,800
1037,Mouse,3,20
1038,Keyboard,2,50
1039,Monitor,,330
1040,Headphones,1,100
1041,Webcam,3,70
1042,Printer,,150
1043,USB Cable,2,10
1044,Laptop,1,800
1045,Mouse,,20
1046,Keyboard,4,
1047,Monitor,2,330
1048,Headphones,,100
1049,Webcam,2,70
1049,Webcam,2,70
